district,mean_articles_per_month,n_months_observed
"Ankaratra: staple crops, horticulture, milk, Antsirabe I, Vakinankaratra, Madagascar",706.5625,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Fune, Yobe, Nigeria",701.8333333333334,48
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Delta, Nigeria",682.5,48
"Central Highlands, High Potential Zone, Starehe, Nairobi, Kenya",667.2083333333334,48
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Enugu, Nigeria",656.0,48
"Rubkona, Unity, South Sudan",614.9375,48
"Pariang, Unity, South Sudan",607.5625,48
"Mayendit, Unity, South Sudan",607.5625,48
"Leer, Unity, South Sudan",607.5625,48
"Panyijiar, Unity, South Sudan",607.5625,48
"Koch, Unity, South Sudan",607.5625,48
"Guit, Unity, South Sudan",607.5625,48
"Abiemnhom, Unity, South Sudan",607.5625,48
"Mayom, Unity, South Sudan",607.5625,48
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Kogi, Nigeria",599.75,48
"Niger-Benue rivers fishing and food crops, Kwara, Nigeria",586.1875,48
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Kwara, Nigeria",586.1875,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Damaturu, Yobe, Nigeria",586.1666666666666,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Konduga, Borno, Nigeria",580.3541666666666,48
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Gombi, Adamawa, Nigeria",577.9375,48
"Niger-Benue rivers fishing and food crops, Gombi, Adamawa, Nigeria",577.9375,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Gombe, Nigeria",568.1041666666666,48
"Kolfe - Keran, Region 14, Addis Ababa, Ethiopia",555.0833333333334,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Maiduguri, Borno, Nigeria",549.5208333333334,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Jigawa, Nigeria",543.3125,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Fika, Yobe, Nigeria",535.3958333333334,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Guzamala, Borno, Nigeria",534.7708333333334,48
"Hadeija-Nguru wetlands: mixed cereals, vegetables, and fishing, Bauchi, Nigeria",531.4791666666666,48
"Tenta, South Wello, Amhara, Ethiopia",529.4583333333334,48
"Tenta, South Wollo, Amhara, Ethiopia",529.4583333333334,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Gubio, Borno, Nigeria",527.2083333333334,48
"Coastal strip and Niger Delta: fishing, cassava, plantain, oil palm, and rubber, Anambra, Nigeria",526.1666666666666,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Jere, Borno, Nigeria",526.0208333333334,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Mafa, Borno, Nigeria",525.875,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Nangere, Yobe, Nigeria",524.6666666666666,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Kaga, Borno, Nigeria",524.3333333333334,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Potiskum, Yobe, Nigeria",524.0,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Jakusko, Yobe, Nigeria",523.625,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Nganzai, Borno, Nigeria",523.6041666666666,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Tarmuwa, Yobe, Nigeria",523.4791666666666,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Kukawa, Borno, Nigeria",523.4166666666666,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Magumeri, Borno, Nigeria",523.3958333333334,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Monguno, Borno, Nigeria",523.3541666666666,48
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Bauchi, Nigeria",523.3125,48
"Central sorghum, maize, groundnuts, cowpeas, and sesame, Bauchi, Nigeria",523.2916666666666,48
"North-east sahelian: millet, sesame, cowpeas, and livestock, Bauchi, Nigeria",523.2916666666666,48
"North-west and central maize dominant, with sorghum, sweet potatoes, and cowpeas, Bauchi, Nigeria",523.2916666666666,48
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Taraba, Nigeria",517.3958333333334,48
"Niger-Benue rivers fishing and food crops, Taraba, Nigeria",517.3958333333334,48
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Yola North, Adamawa, Nigeria",499.4375,48
"Niger-Benue rivers fishing and food crops, Yola North, Adamawa, Nigeria",499.4375,48
"Coastal strip and Niger Delta: fishing, cassava, plantain, oil palm, and rubber, Ogun, Nigeria",494.0208333333333,48
"Niger-Benue rivers fishing and food crops, Fufore, Adamawa, Nigeria",492.875,48
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Fufore, Adamawa, Nigeria",492.875,48
"Coastal strip and Niger Delta: fishing, cassava, plantain, oil palm, and rubber, Bayelsa, Nigeria",490.125,48
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Demsa, Adamawa, Nigeria",480.3125,48
"Niger-Benue rivers fishing and food crops, Demsa, Adamawa, Nigeria",480.3125,48
"Niger-Benue rivers fishing and food crops, Numan, Adamawa, Nigeria",477.6875,48
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Numan, Adamawa, Nigeria",477.6875,48
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Guyuk, Adamawa, Nigeria",477.6666666666667,48
"Coastal strip and Niger Delta: fishing, cassava, plantain, oil palm, and rubber, Rivers, Nigeria",477.5416666666667,48
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Lamurde, Adamawa, Nigeria",477.4791666666667,48
"Niger-Benue rivers fishing and food crops, Lamurde, Adamawa, Nigeria",477.4791666666667,48
"Niger-Benue rivers fishing and food crops, Niger, Nigeria",477.3541666666667,48
"Niger-Benue rivers fishing and food crops, Benue, Nigeria",477.3541666666667,48
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Benue, Nigeria",477.3541666666667,48
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Niger, Nigeria",477.3541666666667,48
"Coastal strip and Niger Delta: fishing, cassava, plantain, oil palm, and rubber, Ebonyi, Nigeria",462.9166666666667,48
"Juba, Central Equatoria, South Sudan",461.7708333333333,48
"Coastal strip and Niger Delta: fishing, cassava, plantain, oil palm, and rubber, Ondo, Nigeria",443.375,48
"Northwestern Pastoral Zone, Lodwa Township, Turkana Central, Turkana, Kenya",381.3541666666667,48
"Turkwell Riverine Zone, Lodwa Township, Turkana Central, Turkana, Kenya",381.3541666666667,48
"Coastal strip and Niger Delta: fishing, cassava, plantain, oil palm, and rubber, Akwa Ibom, Nigeria",376.5625,48
"Coastal strip and Niger Delta: fishing, cassava, plantain, oil palm, and rubber, Cross River, Nigeria",373.4375,48
