feature,mean_importance
ipc_lag_1,12.666491016265937
spatial_lag,10.314712103362366
ipc_persistence_2yr,8.192977641612988
ipc_country,6.221532454740591
displacement_relative_coverage,4.522670340999835
conflict_relative_coverage,4.380766829538666
ipc_period,3.9569537184958294
humanitarian_zscore,3.747487257361186
other_zscore,3.4660521371622335
governance_relative_coverage,3.30529421151876
economic_relative_coverage,3.3028531351998427
displacement_zscore,3.2932534852585573
humanitarian_relative_coverage,3.2259800900049767
weather_zscore,3.1524030217969807
other_relative_coverage,3.1404385870422495
governance_zscore,3.1109166747212904
weather_relative_coverage,3.0152485024421893
economic_zscore,2.9502990868376076
food_security_relative_coverage,2.9323740980649324
health_relative_coverage,2.9199054501702526
conflict_zscore,2.8899156111520266
health_zscore,2.7836555773686666
food_security_zscore,2.50781896888206
