fold_id,train_start,train_end,test_start,n_train,n_test,ar_pr_auc,ar_roc_auc,ar_precision,ar_recall,ar_f1,ar_n_pos,full_pr_auc,full_roc_auc,full_precision,full_recall,full_f1,full_n_pos,delta_pr_auc
1,2020-02-01,2021-10-01,2022-02-01,1097,263,0.8893794774334002,0.9601078167115903,0.8958333333333334,0.8113207547169812,0.8514851485148515,53,0.8986892091207703,0.9544474393530997,0.4672897196261682,0.9433962264150944,0.625,53,0.009309731687370149
2,2020-06-01,2022-02-01,2022-06-01,1360,297,0.9069718459445628,0.9775022956841138,0.4852941176470588,1.0,0.6534653465346535,66,0.9039616012285456,0.9701561065197429,0.7469879518072289,0.9393939393939394,0.8322147651006712,66,-0.0030102447160171852
3,2020-10-01,2022-06-01,2022-10-01,1657,263,0.9090998941129473,0.9642385563380282,0.7701149425287356,0.9436619718309859,0.8481012658227848,71,0.885547975167554,0.9473298122065728,0.8243243243243243,0.8591549295774648,0.8413793103448276,71,-0.023551918945393324
4,2021-02-01,2022-10-01,2023-02-01,1701,341,0.8621635686614074,0.9289113134793667,0.8354430379746836,0.6470588235294118,0.7292817679558011,102,0.8851981157303903,0.9489088522438263,0.8641975308641975,0.6862745098039216,0.7650273224043715,102,0.02303454706898289
5,2021-06-01,2023-02-01,2023-06-01,1797,341,0.713550940863432,0.7577914582531743,0.6576576576576577,0.6347826086956522,0.6460176991150443,115,0.8870547391715558,0.9515198153135821,0.8222222222222222,0.6434782608695652,0.7219512195121951,115,0.1735037983081238
6,2021-10-01,2023-06-01,2023-10-01,1811,343,0.8512861035177886,0.8840125391849529,0.8455284552845529,0.7172413793103448,0.7761194029850746,145,0.8486865726187356,0.8966388018112156,0.8442622950819673,0.7103448275862069,0.7715355805243446,145,-0.0025995308990529598
7,2022-02-01,2023-10-01,2024-02-01,1848,300,0.7096792143327424,0.8759369488536155,0.696969696969697,0.5476190476190477,0.6133333333333333,84,0.7883953375603007,0.8667603615520283,0.8333333333333334,0.5357142857142857,0.6521739130434783,84,0.07871612322755828
