fold_id,train_start,train_end,test_start,n_train,n_test,ar_pr_auc,ar_roc_auc,ar_precision,ar_recall,ar_f1,ar_n_pos,full_pr_auc,full_roc_auc,full_precision,full_recall,full_f1,full_n_pos,delta_pr_auc
1,2020-02-01,2022-06-01,2022-10-01,1657,263,0.9090998941129473,0.9642385563380282,0.7701149425287356,0.9436619718309859,0.8481012658227848,71,0.885547975167554,0.9473298122065728,0.8243243243243243,0.8591549295774648,0.8413793103448276,71,-0.023551918945393324
2,2020-06-01,2022-10-01,2023-02-01,1920,341,0.8847780643299451,0.9408072852571991,0.85,0.6666666666666666,0.7472527472527473,102,0.8923153530914978,0.9573590942653212,0.875,0.7549019607843137,0.8105263157894737,102,0.007537288761552685
3,2020-10-01,2023-02-01,2023-06-01,2261,341,0.7060575513741221,0.7413235859946132,0.6347826086956522,0.6347826086956522,0.6347826086956522,115,0.8721368856301848,0.9422854944209312,0.8314606741573034,0.6434782608695652,0.7254901960784313,115,0.1660793342560627
4,2021-02-01,2023-06-01,2023-10-01,2383,343,0.8435298171216028,0.887652385928248,0.8512396694214877,0.7103448275862069,0.7744360902255639,145,0.8433488695721014,0.897979797979798,0.85,0.7034482758620689,0.769811320754717,145,-0.0001809475495013757
5,2021-06-01,2023-10-01,2024-02-01,2481,300,0.7132750707163069,0.8733465608465609,0.7164179104477612,0.5714285714285714,0.6357615894039735,84,0.8025925950806316,0.8805114638447972,0.8392857142857143,0.5595238095238095,0.6714285714285714,84,0.08931752436432472
