fold_id,n_crises,both_detect,ar_only,full_only,neither,net_saves,pct_net_saves
1,71,61,6,0,4,-6,-8.450704225352112
2,102,67,1,10,24,9,8.823529411764707
3,115,68,5,6,36,1,0.8695652173913043
4,145,101,2,1,41,-1,-0.6896551724137931
5,84,46,2,1,35,-1,-1.1904761904761905
